sbscrbr,Plan_Type,data_consumed,load_date
5732715268,PLN-2K,154229,20-1-2021
6672758308,PLN-2K,903994,20-1-2021
6847542496,PLN-50,958452,20-1-2021
2894593727,PLN-2K,167758,20-1-2021
7629604316,PLN-100,155934,20-1-2021
6297212659,PLN-500,416997,20-1-2021
1978083745,PLN-500,648423,20-1-2021
5254884706,PLN-2K,458191,20-1-2021
7822325845,PLN-100,511302,20-1-2021
9946764088,PLN-500,648564,20-1-2021
3219093870,PLN-50,483626,20-1-2021
5223018505,PLN-500,932284,20-1-2021
2042112668,PLN-2K,579296,20-1-2021
4092921252,PLN-2K,194150,20-1-2021
4761720234,PLN-50,349921,20-1-2021
6595243752,PLN-2K,350957,20-1-2021
3748770415,PLN-100,197884,20-1-2021
2055845117,PLN-500,221571,20-1-2021
1238903114,PLN-500,241053,20-1-2021
4781124958,PLN-2K,479034,20-1-2021
7646518185,PLN-100,732544,20-1-2021
3103329651,PLN-500,421545,20-1-2021
3609298220,PLN-50,525122,20-1-2021
4664861936,PLN-500,217850,20-1-2021
9056785444,PLN-2K,376464,20-1-2021
8523333015,PLN-2K,402991,20-1-2021
6906575365,PLN-50,577617,20-1-2021
8575501630,PLN-2K,998259,20-1-2021
9711510733,PLN-100,414880,20-1-2021
5741563586,PLN-500,501892,20-1-2021
3931471148,PLN-500,749079,20-1-2021
6857849582,PLN-2K,956422,20-1-2021
5121765654,PLN-100,579585,20-1-2021
5607296981,PLN-500,295440,20-1-2021
7618598133,PLN-50,155260,20-1-2021
7212084191,PLN-500,241413,20-1-2021
5093615854,PLN-2K,448020,20-1-2021
3496329273,PLN-2K,702210,20-1-2021
8267988821,PLN-100,828192,20-1-2021
5715734777,PLN-500,728541,20-1-2021
6388721811,PLN-100,464817,20-1-2021
5156125637,PLN-50,993843,20-1-2021
5602888902,PLN-2K,996848,20-1-2021
2986283801,PLN-100,732219,20-1-2021
2199140682,PLN-500,992927,20-1-2021
4412896678,PLN-500,963143,20-1-2021
3005571130,PLN-2K,620131,20-1-2021
7053507006,PLN-100,285919,20-1-2021
1732454824,PLN-500,662685,20-1-2021
6436072347,PLN-50,418245,20-1-2021
3289803541,PLN-500,168801,20-1-2021
4182984575,PLN-2K,919501,20-1-2021
9195835434,PLN-2K,276274,20-1-2021
7749233895,PLN-50,657450,20-1-2021
6362734544,PLN-2K,742756,20-1-2021
8483947225,PLN-100,346150,20-1-2021
2066877388,PLN-500,275588,20-1-2021
4642383071,PLN-500,603952,20-1-2021
2308739440,PLN-2K,124553,20-1-2021
2024579517,PLN-100,507654,20-1-2021
8143187195,PLN-500,665633,20-1-2021
2473292591,PLN-50,600135,20-1-2021
1549361348,PLN-500,219884,20-1-2021
2704853972,PLN-2K,906338,20-1-2021
5817725294,PLN-2K,636291,20-1-2021
1791213980,PLN-50,213293,20-1-2021
3074800473,PLN-2K,842504,20-1-2021
1986498129,PLN-100,661819,20-1-2021
2288523354,PLN-500,808927,20-1-2021
2936982989,PLN-500,617966,20-1-2021
2092672995,PLN-2K,635994,20-1-2021
5907472554,PLN-100,425295,20-1-2021
9766178765,PLN-500,154522,20-1-2021
5302194416,PLN-50,407561,20-1-2021
9402733567,PLN-500,635839,20-1-2021
6048098096,PLN-2K,726961,20-1-2021
1468225736,PLN-2K,421617,20-1-2021
9389635534,PLN-50,907135,20-1-2021
6288976872,PLN-2K,942015,20-1-2021
6594009237,PLN-100,663969,20-1-2021
8725928890,PLN-500,808155,20-1-2021
6972967007,PLN-500,457146,20-1-2021
9221966029,PLN-2K,601844,20-1-2021
3429382805,PLN-100,914195,20-1-2021
3314479075,PLN-500,672162,20-1-2021
7844155205,PLN-50,886286,20-1-2021
6433129271,PLN-500,850054,20-1-2021
6521574108,PLN-2K,129719,20-1-2021
8636522622,PLN-2K,651166,20-1-2021
2889695868,PLN-50,730429,20-1-2021
7406914151,PLN-2K,946035,20-1-2021
7269657591,PLN-100,595087,20-1-2021
1682303531,PLN-500,262291,20-1-2021
1994698128,PLN-500,365470,20-1-2021
5028321473,PLN-2K,404043,20-1-2021
2599732255,PLN-100,296813,20-1-2021
1639292263,PLN-500,162871,20-1-2021
9484370250,PLN-50,770150,20-1-2021
2102854566,PLN-500,500259,20-1-2021
9932724499,PLN-2K,186183,20-1-2021
8205704840,PLN-2K,498342,20-1-2021
3514087743,PLN-50,940908,20-1-2021
6521326024,PLN-2K,356118,20-1-2021
5898989537,PLN-100,502974,20-1-2021
3035430636,PLN-500,678893,20-1-2021
5576916846,PLN-500,805580,20-1-2021
6329379901,PLN-2K,508434,20-1-2021
1819463352,PLN-100,446711,20-1-2021
4046579391,PLN-500,523607,20-1-2021
7965424737,PLN-50,595179,20-1-2021
5565430985,PLN-500,935270,20-1-2021
1665654309,PLN-2K,227128,20-1-2021
5338294907,PLN-2K,282400,20-1-2021
2567576443,PLN-50,873641,20-1-2021
1581733124,PLN-2K,948331,20-1-2021
6862230002,PLN-100,439900,20-1-2021
2753977097,PLN-500,139743,20-1-2021
9126293394,PLN-500,586614,20-1-2021
8329006166,PLN-2K,943658,20-1-2021
5907212083,PLN-100,611425,20-1-2021
8711639690,PLN-500,114517,20-1-2021
6802297835,PLN-50,848044,20-1-2021
4239556544,PLN-500,247779,20-1-2021
8154539790,PLN-2K,500975,20-1-2021
5701351611,PLN-2K,931227,20-1-2021
7611414861,PLN-50,566263,20-1-2021
5344419122,PLN-2K,838124,20-1-2021
1009249344,PLN-100,493635,20-1-2021
2893042736,PLN-500,244541,20-1-2021
2248067649,PLN-500,613905,20-1-2021
9629831570,PLN-2K,122470,20-1-2021
5478546984,PLN-100,129249,20-1-2021
5702188526,PLN-500,824916,20-1-2021
8627597229,PLN-50,466674,20-1-2021
4308461721,PLN-500,420511,20-1-2021
4594833832,PLN-2K,521574,20-1-2021
5968183775,PLN-2K,253240,20-1-2021
8117764607,PLN-100,992613,20-1-2021
5781909455,PLN-500,676687,20-1-2021
8662181319,PLN-100,500368,20-1-2021
1051125036,PLN-50,800007,20-1-2021
6586636222,PLN-2K,947944,20-1-2021
4842015640,PLN-100,845367,20-1-2021
8673799338,PLN-500,456975,20-1-2021
3986240876,PLN-500,447799,20-1-2021
8765519122,PLN-2K,393545,20-1-2021
5981410385,PLN-100,386964,20-1-2021
5113948188,PLN-500,907828,20-1-2021
2721821789,PLN-50,757946,20-1-2021
7839973003,PLN-500,539210,20-1-2021
4362587329,PLN-2K,836947,20-1-2021
5984913510,PLN-2K,609520,20-1-2021
6242176255,PLN-50,714772,20-1-2021
8651922540,PLN-2K,329083,20-1-2021
8978162311,PLN-100,495837,20-1-2021
8753027828,PLN-500,985517,20-1-2021
2335692914,PLN-500,294041,20-1-2021
7086461533,PLN-2K,295202,20-1-2021
1114398583,PLN-100,334458,20-1-2021
7146727061,PLN-500,399950,20-1-2021
6961085497,PLN-50,173024,20-1-2021
4964553900,PLN-500,445416,20-1-2021
6178193255,PLN-2K,332369,20-1-2021
1707475053,PLN-2K,575701,20-1-2021
3042970618,PLN-50,477937,20-1-2021
7038303787,PLN-2K,510139,20-1-2021
2128152763,PLN-100,460451,20-1-2021
4631826594,PLN-500,162242,20-1-2021
1155918693,PLN-500,457187,20-1-2021
5873743591,PLN-2K,630200,20-1-2021
2006396085,PLN-100,971864,20-1-2021
1721465184,PLN-500,800402,20-1-2021
3354621516,PLN-50,642555,20-1-2021
5537093904,PLN-500,436689,20-1-2021
6471139357,PLN-2K,350609,20-1-2021
7779802401,PLN-2K,598603,20-1-2021
5715932417,PLN-50,992335,20-1-2021
5405096882,PLN-2K,977758,20-1-2021
6104370843,PLN-100,769245,20-1-2021
5432301313,PLN-500,725529,20-1-2021
2728621627,PLN-500,353750,20-1-2021
2554109230,PLN-2K,743591,20-1-2021
5772499117,PLN-100,798788,20-1-2021
7118755484,PLN-500,220290,20-1-2021
3939575940,PLN-50,512271,20-1-2021
6101500067,PLN-500,313542,20-1-2021
3837582728,PLN-2K,530506,20-1-2021
6576632015,PLN-2K,204646,20-1-2021
9949688587,PLN-50,324840,20-1-2021
1508989273,PLN-2K,718677,20-1-2021
1349541686,PLN-100,985943,20-1-2021
2018579922,PLN-500,805914,20-1-2021
8007860379,PLN-500,993133,20-1-2021
4555986897,PLN-2K,943648,20-1-2021
3993692412,PLN-100,878872,20-1-2021
1934020804,PLN-500,961653,20-1-2021
8644107523,PLN-50,701564,20-1-2021
5611436861,PLN-500,940962,20-1-2021
4008618105,PLN-2K,865630,20-1-2021
3239123425,PLN-2K,250847,20-1-2021
5337577270,PLN-50,130383,20-1-2021
8599476260,PLN-2K,407243,20-1-2021
6031586580,PLN-100,681108,20-1-2021
4275598609,PLN-500,173489,20-1-2021
7777646852,PLN-500,515519,20-1-2021
6571148313,PLN-2K,370205,20-1-2021
5254083319,PLN-100,904924,20-1-2021
4439943686,PLN-500,953133,20-1-2021
7228168306,PLN-50,538112,20-1-2021
7796799880,PLN-500,449737,20-1-2021
5548901755,PLN-2K,718324,20-1-2021
8128124432,PLN-2K,903679,20-1-2021
7492255064,PLN-50,108845,20-1-2021
5186251036,PLN-2K,278411,20-1-2021
2642946516,PLN-100,934217,20-1-2021
2054104678,PLN-500,438381,20-1-2021
8467961532,PLN-500,847974,20-1-2021
8081203947,PLN-2K,634489,20-1-2021
4688697501,PLN-100,682442,20-1-2021
3871570151,PLN-500,325455,20-1-2021
7874437075,PLN-50,221914,20-1-2021
3812005315,PLN-500,285752,20-1-2021
7971209676,PLN-2K,576440,20-1-2021
9031149747,PLN-2K,257325,20-1-2021
1989862850,PLN-50,132582,20-1-2021
1597339298,PLN-2K,327313,20-1-2021
2347798298,PLN-100,803280,20-1-2021
8111565344,PLN-500,345049,20-1-2021
5531456195,PLN-500,991196,20-1-2021
3823237822,PLN-2K,930804,20-1-2021
5137587038,PLN-100,881391,20-1-2021
6702190755,PLN-500,107118,20-1-2021
9379416460,PLN-50,841532,20-1-2021
2628828987,PLN-500,351381,20-1-2021
2207887410,PLN-2K,226981,20-1-2021
8628830510,PLN-2K,558355,20-1-2021
8139327840,PLN-100,296168,20-1-2021
6741748355,PLN-500,174765,20-1-2021
5528229968,PLN-100,209349,20-1-2021
5245748998,PLN-50,977581,20-1-2021
9505125624,PLN-2K,113165,20-1-2021
7865544557,PLN-100,146248,20-1-2021
3052338695,PLN-500,661181,20-1-2021
8112755051,PLN-500,954975,20-1-2021
1123297125,PLN-2K,126137,20-1-2021
2048353928,PLN-100,256420,20-1-2021
1232963885,PLN-500,437860,20-1-2021
8236765289,PLN-50,109713,20-1-2021
2877695770,PLN-500,835583,20-1-2021
8967575093,PLN-2K,511209,20-1-2021
9873276137,PLN-2K,838359,20-1-2021
4993738169,PLN-50,920361,20-1-2021
2348154486,PLN-2K,258153,20-1-2021
3574701509,PLN-100,963407,20-1-2021
4478376348,PLN-500,916505,20-1-2021
2781206461,PLN-500,664393,20-1-2021
9312848439,PLN-2K,156506,20-1-2021
7789338963,PLN-100,114594,20-1-2021
5973124654,PLN-500,205865,20-1-2021
5829283864,PLN-50,423520,20-1-2021
4419928368,PLN-500,484899,20-1-2021
2793232131,PLN-2K,788628,20-1-2021
5933017373,PLN-2K,615318,20-1-2021
7215239021,PLN-50,615181,20-1-2021
3002297290,PLN-2K,336019,20-1-2021
8625737990,PLN-100,507396,20-1-2021
2877103236,PLN-500,784992,20-1-2021
4096383243,PLN-500,606081,20-1-2021
1756955891,PLN-2K,460195,20-1-2021
5043194610,PLN-100,666348,20-1-2021
3131897804,PLN-500,120652,20-1-2021
7202414755,PLN-50,479441,20-1-2021
7584233517,PLN-500,123443,20-1-2021
3049691700,PLN-2K,556938,20-1-2021
5022381119,PLN-2K,197246,20-1-2021
1732845500,PLN-50,987361,20-1-2021
8101183309,PLN-2K,732037,20-1-2021
9049966109,PLN-100,941823,20-1-2021
9285421447,PLN-500,797292,20-1-2021
9058159395,PLN-500,322755,20-1-2021
6281940576,PLN-2K,911383,20-1-2021
5936246408,PLN-100,109318,20-1-2021
3811216447,PLN-500,876229,20-1-2021
8686917250,PLN-50,919952,20-1-2021
4611041941,PLN-500,871161,20-1-2021
5278880809,PLN-2K,409244,20-1-2021
9318343272,PLN-2K,302763,20-1-2021
8617702958,PLN-50,165655,20-1-2021
1443490909,PLN-2K,255418,20-1-2021
4293735036,PLN-100,997418,20-1-2021
7424027291,PLN-500,501382,20-1-2021
9988569451,PLN-500,803223,20-1-2021
8936112977,PLN-2K,726224,20-1-2021
1268201201,PLN-100,545021,20-1-2021
7364369171,PLN-500,593739,20-1-2021
1768566411,PLN-50,383721,20-1-2021
6841797564,PLN-500,714737,20-1-2021
4819983008,PLN-50,509386,20-1-2021
1643848762,PLN-2K,660366,20-1-2021
4506435280,PLN-100,192297,20-1-2021
1609928122,PLN-500,320551,20-1-2021
6539917258,PLN-500,191398,20-1-2021
3304104948,PLN-2K,421742,20-1-2021
5375549286,PLN-100,562572,20-1-2021
2617601056,PLN-500,286504,20-1-2021
1647962937,PLN-50,338192,20-1-2021
4842002562,PLN-500,582639,20-1-2021
5211560396,PLN-2K,139939,20-1-2021
1009684777,PLN-2K,209627,20-1-2021
6611295706,PLN-50,617704,20-1-2021
8894008743,PLN-2K,326932,20-1-2021
8946939167,PLN-100,972165,20-1-2021
5131439762,PLN-500,842682,20-1-2021
6287897180,PLN-500,833815,20-1-2021
7507766329,PLN-2K,248293,20-1-2021
9495402527,PLN-100,111982,20-1-2021
3709211383,PLN-500,460745,20-1-2021
3184828913,PLN-50,376318,20-1-2021
4703687839,PLN-500,726794,20-1-2021
1682740800,PLN-2K,814202,20-1-2021
4143933476,PLN-2K,648752,20-1-2021
2482009470,PLN-50,359289,20-1-2021
1435586695,PLN-2K,622850,20-1-2021
5085504834,PLN-100,710195,20-1-2021
8531781198,PLN-500,202257,20-1-2021
5467751739,PLN-500,664162,20-1-2021
5231859287,PLN-2K,138537,20-1-2021
8195094291,PLN-100,672548,20-1-2021
2388270504,PLN-500,919661,20-1-2021
5034361480,PLN-50,940109,20-1-2021
1466154600,PLN-500,741612,20-1-2021
2978742660,PLN-2K,112063,20-1-2021
6479472587,PLN-2K,292725,20-1-2021
3581499938,PLN-50,264875,20-1-2021
6679457813,PLN-2K,254134,20-1-2021
3817568953,PLN-100,777783,20-1-2021
3063528371,PLN-500,937355,20-1-2021
5287628197,PLN-500,485276,20-1-2021
5914224585,PLN-2K,739047,20-1-2021
4581100850,PLN-100,755779,20-1-2021
4692970711,PLN-500,262025,20-1-2021
6986663119,PLN-50,417490,20-1-2021
8484994603,PLN-500,635784,20-1-2021
